City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,San Rafael,AR,2021-09-27 17:57:16,-34.6177,-68.3301,64.17,26,11,9.04
92,Kaeo,NZ,2021-09-27 17:57:16,-35.1,173.7833,44.33,91,52,3.83
93,Avarua,CK,2021-09-27 17:57:16,-21.2078,-159.775,71.65,94,14,1.14
94,Norman Wells,CA,2021-09-27 17:56:34,65.282,-126.8329,32.04,86,90,2.3
95,Castro,BR,2021-09-27 17:57:17,-24.7911,-50.0119,85.23,31,9,5.91
96,Kruisfontein,ZA,2021-09-27 17:57:17,-34.0033,24.7314,60.89,90,76,14.74
97,Yakeshi,CN,2021-09-27 17:57:18,49.2833,120.7333,43.27,71,66,4.85
98,Sao Filipe,CV,2021-09-27 17:53:54,14.8961,-24.4956,81.07,75,36,11.07
99,Tias,ES,2021-09-27 17:57:18,28.9611,-13.645,74.95,73,20,19.57
100,Leningradskiy,RU,2021-09-27 17:56:11,69.3833,178.4167,26.02,96,100,6.33
101,Auki,SB,2021-09-27 17:57:18,-8.7676,160.7034,76.59,85,99,3.36
102,Trairi,BR,2021-09-27 17:54:23,-3.2778,-39.2689,85.53,60,45,16.6
103,Tura,IN,2021-09-27 17:57:19,25.5198,90.2201,73.85,90,38,3.69
104,Ostrovnoy,RU,2021-09-27 17:57:19,68.0531,39.5131,46.31,88,100,5.12
105,Roma,US,2021-09-27 17:55:14,43.2128,-75.4557,75.85,77,100,3.67
106,Bowen,AU,2021-09-27 17:57:15,-20.0167,148.2333,66.42,70,8,17.56
107,Husavik,IS,2021-09-27 17:57:20,66.0449,-17.3389,42.71,78,28,6.55
108,Dali,CN,2021-09-27 17:57:20,25.7,100.1833,59.56,89,63,3.98
109,San Patricio,US,2021-09-27 17:57:21,28.017,-97.5169,92.01,47,78,7.11
110,Nova Ushytsya,UA,2021-09-27 17:57:21,48.8372,27.2743,51.67,65,0,8.19
111,Namibe,AO,2021-09-27 17:54:15,-15.1961,12.1522,64.42,88,8,10.51
112,Nanortalik,GL,2021-09-27 17:57:21,60.1432,-45.2371,36.28,64,3,4.83
113,High Rock,BS,2021-09-27 17:57:22,26.6208,-78.2833,86.02,69,24,17.65
114,Kaitangata,NZ,2021-09-27 17:57:22,-46.2817,169.8464,39.92,85,12,6.22
115,Yumen,CN,2021-09-27 17:57:22,40.2833,97.2,62.76,20,0,10.25
116,Irbeyskoye,RU,2021-09-27 17:57:23,55.6428,95.4522,36.36,94,99,8.93
117,Launceston,AU,2021-09-27 17:53:26,-41.45,147.1667,44.24,97,90,0.0
118,Nome,US,2021-09-27 17:57:23,64.5011,-165.4064,30.69,85,15,3.96
119,Nhulunbuy,AU,2021-09-27 17:55:17,-12.2333,136.7667,75.81,88,96,0.0
120,Impfondo,CG,2021-09-27 17:56:47,1.6381,18.0667,73.38,84,80,3.49
