City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
108,San Francisco,US,2021-09-29 03:05:13,37.7749,-122.4194,68.95,66,40,7.0,scattered clouds
109,Taltal,CL,2021-09-29 03:05:22,-25.4,-70.4833,62.67,64,19,4.81,few clouds
110,Vagur,FO,2021-09-29 03:04:14,61.4732,-6.8119,48.51,83,13,8.14,few clouds
111,Dukat,RU,2021-09-29 03:05:23,62.55,155.55,21.94,61,100,19.01,overcast clouds
112,Mount Gambier,AU,2021-09-29 03:05:23,-37.8333,140.7667,60.76,62,100,11.12,overcast clouds
113,Nemuro,JP,2021-09-29 02:55:35,43.3236,145.575,68.43,73,100,12.01,overcast clouds
114,Olafsvik,IS,2021-09-29 03:05:24,64.8945,-23.7142,40.96,83,100,23.31,overcast clouds
115,Westport,US,2021-09-29 03:05:24,41.1415,-73.3579,66.81,91,1,3.0,clear sky
116,Fortuna,US,2021-09-29 03:03:47,40.5982,-124.1573,56.66,69,1,1.01,clear sky
117,Jurmala,LV,2021-09-29 03:05:24,56.968,23.7704,48.22,87,0,4.61,clear sky
118,Sakaiminato,JP,2021-09-29 03:05:25,35.55,133.2333,78.19,70,77,12.39,broken clouds
119,Constitucion,CL,2021-09-29 02:56:33,-35.3333,-72.4167,49.17,62,0,7.29,clear sky
120,Itarema,BR,2021-09-29 02:57:30,-2.9248,-39.9167,79.03,83,11,15.35,few clouds
121,Taoudenni,ML,2021-09-29 03:05:25,22.6783,-3.9836,88.52,12,0,12.68,clear sky
122,Tiksi,RU,2021-09-29 02:55:48,71.6872,128.8694,32.86,84,100,1.92,overcast clouds
123,Sabang,ID,2021-09-29 03:05:26,5.8933,95.3214,80.62,75,100,5.93,overcast clouds
124,Pontes E Lacerda,BR,2021-09-29 03:05:26,-15.2261,-59.3353,79.7,52,43,2.21,scattered clouds
125,Rocha,UY,2021-09-29 02:55:33,-34.4833,-54.3333,52.61,79,70,7.36,broken clouds
126,Weirton,US,2021-09-29 03:05:27,40.419,-80.5895,59.67,85,1,4.7,clear sky
127,Spokoynaya,RU,2021-09-29 03:05:27,44.2468,41.4015,44.8,96,93,3.65,overcast clouds
128,Conceicao Do Araguaia,BR,2021-09-29 03:01:04,-8.2578,-49.2647,72.81,91,100,3.06,overcast clouds
129,Kaitangata,NZ,2021-09-29 03:05:27,-46.2817,169.8464,54.93,60,61,12.15,broken clouds
130,Neiafu,TO,2021-09-29 03:05:28,-18.65,-173.9833,81.28,78,40,8.05,scattered clouds
131,Hamilton,US,2021-09-29 03:01:57,39.1834,-84.5333,70.99,85,1,0.0,clear sky
132,Kasongo-Lunda,CD,2021-09-29 03:05:28,-6.4667,16.8167,70.59,92,68,1.07,broken clouds
133,Victoria,HK,2021-09-29 02:52:32,22.2855,114.1577,91.26,77,3,1.01,clear sky
134,Moose Factory,CA,2021-09-29 03:05:29,51.2585,-80.6094,44.58,93,90,4.61,overcast clouds
135,Lakhdenpokhya,RU,2021-09-29 03:05:29,61.5198,30.1992,45.82,92,65,1.61,broken clouds
136,Bowling Green,US,2021-09-29 03:05:29,36.9903,-86.4436,66.94,91,1,0.0,clear sky
137,Port Augusta,AU,2021-09-29 03:05:30,-32.5,137.7667,74.71,35,0,6.33,clear sky
138,Kitui,KE,2021-09-29 03:05:30,-1.367,38.0106,59.09,95,59,3.87,broken clouds
139,Alofi,NU,2021-09-29 03:04:22,-19.0595,-169.9187,78.69,89,75,13.8,light intensity shower rain
140,Lantana,US,2021-09-29 03:05:30,26.5867,-80.052,82.45,75,40,1.99,scattered clouds
141,Santa Cruz,BO,2021-09-29 02:57:20,-17.8,-63.1667,78.26,78,4,8.05,smoke
142,Port Macquarie,AU,2021-09-29 03:05:31,-31.4333,152.9167,76.37,55,100,19.75,overcast clouds
143,Paracuru,BR,2021-09-29 03:05:31,-3.41,-39.0306,80.62,84,3,15.43,clear sky
144,Mar Del Plata,AR,2021-09-29 03:05:31,-38.0023,-57.5575,44.01,100,0,0.0,clear sky
145,Vestmannaeyjar,IS,2021-09-29 03:05:32,63.4427,-20.2734,40.3,82,100,35.46,overcast clouds
146,Luderitz,NA,2021-09-29 03:04:40,-26.6481,15.1594,52.72,85,0,15.84,clear sky
147,Avarua,CK,2021-09-29 03:04:46,-21.2078,-159.775,80.65,69,40,6.91,scattered clouds
148,Shu,KZ,2021-09-29 03:05:32,43.5983,73.7614,63.21,31,94,5.28,overcast clouds
149,Faya,SA,2021-09-29 02:55:53,18.3851,42.4509,68.11,40,61,2.33,broken clouds
150,Mahibadhoo,MV,2021-09-29 03:02:01,3.7833,72.9667,82.53,76,78,11.43,broken clouds
151,Vila Franca Do Campo,PT,2021-09-29 02:56:42,37.7167,-25.4333,74.19,90,28,4.18,scattered clouds
152,Quime,BO,2021-09-29 03:05:33,-16.9833,-67.2167,50.92,86,36,1.3,scattered clouds
153,Margate,GB,2021-09-29 03:05:33,51.3813,1.3862,53.69,91,100,1.01,overcast clouds
154,Sao Joao Da Barra,BR,2021-09-29 03:05:10,-21.6403,-41.0511,72.21,87,1,17.81,clear sky
155,Troitsko-Pechorsk,RU,2021-09-29 03:05:34,62.7084,56.1964,38.82,94,100,4.12,overcast clouds
156,Aksha,RU,2021-09-29 03:05:34,50.2814,113.2867,42.82,42,79,15.7,broken clouds
157,El Reno,US,2021-09-29 03:05:34,35.5323,-97.955,79.54,66,40,34.52,light rain
158,Sao Filipe,CV,2021-09-29 02:56:39,14.8961,-24.4956,79.25,79,11,7.92,few clouds
159,Georgetown,MY,2021-09-29 03:05:35,5.4112,100.3354,79.9,92,40,3.44,scattered clouds
160,Bluff,NZ,2021-09-29 03:05:35,-46.6,168.3333,47.8,84,91,25.21,overcast clouds
161,Araouane,ML,2021-09-29 02:57:12,18.9048,-3.5265,89.44,12,0,8.12,clear sky
162,Paragominas,BR,2021-09-29 02:56:26,-2.9667,-47.4833,71.24,98,89,2.82,light rain
163,Krotovka,RU,2021-09-29 03:05:36,53.2858,51.1686,38.23,70,100,7.94,overcast clouds
164,Half Moon Bay,US,2021-09-29 02:56:46,37.4636,-122.4286,68.4,74,40,4.0,haze
165,Kedrovyy,RU,2021-09-29 03:05:36,56.1667,91.8167,36.01,73,35,6.35,scattered clouds
166,Bathsheba,BB,2021-09-29 02:55:56,13.2167,-59.5167,77.61,94,40,3.44,scattered clouds
167,Naples,IT,2021-09-29 03:05:37,40.8333,14.25,71.78,59,20,2.3,few clouds
168,Kropotkin,RU,2021-09-29 02:56:20,45.4375,40.5756,52.18,77,100,9.95,overcast clouds
169,Jiuquan,CN,2021-09-29 03:05:37,39.7432,98.5174,67.77,18,0,4.72,clear sky
170,Marsabit,KE,2021-09-29 03:05:38,2.3284,37.9899,61.43,77,54,13.51,broken clouds
171,Nikolskoye,RU,2021-09-29 03:05:38,59.7035,30.7861,48.87,72,100,2.46,overcast clouds
172,Saint-Philippe,RE,2021-09-29 02:56:05,-21.3585,55.7679,71.15,77,39,10.33,scattered clouds
173,Pop,UZ,2021-09-29 03:05:38,40.8736,71.1089,64.89,33,68,3.85,broken clouds
174,New Norfolk,AU,2021-09-29 03:05:39,-42.7826,147.0587,57.88,58,98,3.0,overcast clouds
175,Carnarvon,AU,2021-09-29 03:04:02,-24.8667,113.6333,77.07,47,3,8.05,clear sky
176,Seydi,TM,2021-09-29 03:05:39,39.4816,62.9137,65.46,34,0,7.87,clear sky
177,Guerrero Negro,MX,2021-09-29 02:55:42,27.9769,-114.0611,70.39,73,7,14.97,clear sky
178,Hilo,US,2021-09-29 03:03:50,19.7297,-155.09,76.24,90,90,4.61,light rain
179,Kodiak,US,2021-09-29 03:05:40,57.79,-152.4072,51.31,62,75,0.0,broken clouds
180,Severo-Kurilsk,RU,2021-09-29 02:55:50,50.6789,156.125,55.04,76,100,11.65,overcast clouds
181,The Valley,AI,2021-09-29 03:05:40,18.217,-63.0578,84.06,68,31,12.5,scattered clouds
182,Adrar,MR,2021-09-29 03:05:40,20.5022,-10.0711,86.72,10,0,6.73,clear sky
183,East London,ZA,2021-09-29 02:55:48,-33.0153,27.9116,61.79,75,100,10.22,overcast clouds
184,Barrow,US,2021-09-29 03:05:15,71.2906,-156.7887,30.22,80,90,4.61,overcast clouds
185,Tilichiki,RU,2021-09-29 03:05:41,60.4667,166.1,28.02,81,100,14.97,light snow
186,Praia,CV,2021-09-29 02:57:04,14.9215,-23.5087,77.54,78,0,2.3,clear sky
187,Pogar,RU,2021-09-29 03:05:42,52.554,33.2591,42.48,84,100,7.74,overcast clouds
188,Liseleje,DK,2021-09-29 03:05:42,56.0053,11.9483,48.02,71,100,6.64,overcast clouds
189,Florianopolis,BR,2021-09-29 03:05:42,-27.6146,-48.5012,69.42,91,75,4.61,broken clouds
190,Suluq,LY,2021-09-29 03:05:43,31.6682,20.2521,71.29,81,0,5.55,clear sky
191,Saint-Pierre,RE,2021-09-29 02:56:02,-21.3393,55.4781,71.24,68,0,6.91,clear sky
192,Saldanha,ZA,2021-09-29 03:05:43,-33.0117,17.9442,58.62,77,0,24.63,clear sky
193,San Quintin,MX,2021-09-29 03:05:44,30.4833,-115.95,67.6,80,19,16.89,few clouds
194,Ostroda,PL,2021-09-29 03:05:44,53.6967,19.9649,47.68,77,46,9.4,scattered clouds
195,Beira,MZ,2021-09-29 03:05:44,-19.8436,34.8389,72.3,88,22,1.48,few clouds
196,Nome,US,2021-09-29 03:05:45,64.5011,-165.4064,37.47,53,75,6.91,broken clouds
197,Esperance,AU,2021-09-29 02:56:12,-33.8667,121.9,62.44,58,92,5.01,overcast clouds
198,San Lawrenz,MT,2021-09-29 03:05:45,36.0553,14.204,75.85,88,21,11.99,few clouds
199,Noumea,NC,2021-09-29 02:57:49,-22.2763,166.4572,80.58,68,59,18.07,broken clouds
200,Jumla,NP,2021-09-29 03:01:21,29.2747,82.1838,66.2,74,26,3.33,scattered clouds
201,Lata,PT,2021-09-29 03:05:46,40.1629,-8.3327,57.81,95,11,3.36,few clouds
202,Broome,US,2021-09-29 02:56:26,42.2506,-75.833,49.68,78,51,1.01,broken clouds
