City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
282,Sur,OM,86.14,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
284,Manggar,ID,85.84,broken clouds,-2.8833,108.2667,Guest Hotel
286,Shiloh,US,76.62,clear sky,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
299,Cockburn Town,TC,83.48,clear sky,21.4612,-71.1419,Osprey Beach Hotel
303,Ocos,GT,82.31,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
309,Xinan,CN,82.78,clear sky,26.72,119.8556,昌雄大酒店
313,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
314,Tateyama,JP,83.14,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
319,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
324,Trincomalee,LK,82.02,overcast clouds,8.5711,81.2335,Welcombe Hotel
330,Aliaga,PH,86.45,overcast clouds,15.5167,120.8667,Jhenie rich ramos
331,Lamar,US,80.26,few clouds,33.6668,-95.5836,Kings Inn Paris TX
339,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
341,Sulangan,PH,83.89,broken clouds,11.1373,123.7228,Maia's Beach Resort
347,Bengkulu,ID,82.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
348,Tulagi,SB,82.24,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
351,Shiyan,CN,82.42,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
355,Sola,VU,79.39,light rain,-13.8833,167.55,Leumerus Bungalows
363,Nouadhibou,MR,80.58,scattered clouds,20.931,-17.0347,El Medina
373,Luwuk,ID,86.43,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
378,Matara,LK,81.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
379,Tomatlan,MX,75.51,overcast clouds,19.9333,-105.25,El Salvial
382,Chandbali,IN,81.61,overcast clouds,20.7833,86.7667,KABITA HOMES
383,Tura,IN,77.38,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
388,Limbang,MY,87.91,overcast clouds,4.75,115.0,Purnama Hotel
392,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
395,Mayumba,GA,75.07,overcast clouds,-3.432,10.6554,LIKWALE LODGE
396,Kaseda,JP,82.9,clear sky,31.4167,130.3167,Sun Stay Kaseda
397,Mitsamiouli,KM,77.74,broken clouds,-11.3847,43.2844,Foyer ADM
398,Mecca,SA,80.67,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
401,Port Blair,IN,83.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
402,Shingu,JP,76.73,scattered clouds,33.7333,135.9833,Shingu UI Hotel
404,Lorengau,PG,85.08,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
410,Rockhampton,AU,76.89,overcast clouds,-23.3833,150.5,Mercure Rockhampton
411,Jinsha,CN,83.98,overcast clouds,32.0898,121.0735,Cosmic Guangdong International Hotel
418,Tautira,PF,82.0,light rain,-17.7333,-149.15,Pension Oaoa
423,Hisai,JP,81.79,broken clouds,34.6667,136.4667,ステーションホテルＡＵ
428,Rock Sound,BS,81.72,few clouds,24.9,-76.2,Rock Sound Club
430,Katsuyama,JP,81.3,few clouds,36.0617,136.501,Pension UPO
432,Baturaja,ID,85.78,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
435,Namatanai,PG,84.4,light rain,-3.6667,152.4333,Seagulls Inn Namatani
436,Sultanpur,IN,82.94,scattered clouds,26.2667,82.0667,OYO 49568 Vrindavan Guest House
437,Pekan,MY,86.04,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
